A compendium of geochemical information from the Saanich Inlet water column. ScientificData. Nature,,,,,,,,,,,,,
"Authors: Monica Torres Beltran, Alyse K. Hawely, David Capelle, Elena Zaikova, David A. Walsh, Andreas Mueller ",,,,,,,,,,,,,
"Melanie Scofield, Sam Kheirandish, Chris Payne, Larysa Pakhomova, Maya Bathia, Olena Shevchuk, Esther A. Gies",,,,,,,,,,,,,
"Diane Fairley, Tijana Glavina del Rio, Susannah Tringe, Frank Whitney, Philippe D. Tortell, Steven J. Hallam",,,,,,,,,,,,,
"Affiliations:Department of Microbiology and Immunology, University of British Columbia, Vancouver, BC. Canada",,,,,,,,,,,,,
"Earth, Ocean and Atmospheric Sciences, University of British Columbia, Vancouver, BC. Canada",,,,,,,,,,,,,
"Department of Biology, Concordia University, Montreal, QC.Canada",,,,,,,,,,,,,
"Department of Energy Joint Genome Institute, Walnut Creek, CA.USA",,,,,,,,,,,,,
"Institute of Ocean Sciences, Fisheries and Oceans Canada, Sidney, BC. Canada",,,,,,,,,,,,,
"Department of Botany, University of British Columbia, Vancouver, BC. Canada",,,,,,,,,,,,,
"Genome Science and Technology Program, University of British Columbia, Vancouver, BC. Canada",,,,,,,,,,,,,
,,,,,,,,,,,,,
Saanich Inlet time-series chemical dataset,,,,,,,,,,,,,
Data derived from seawater samples taken as described in manuscript methods,,,,,,,,,,,,,
Key to the data fields is described on Saanich_TimeSeries_CTD_dataset_README.csv file,,,,,,,,,,,,,
,,,,,,,,,,,,,
Longitude,Latitude,Cruise,Date,Pressure,Temperature ,Conductivity,Fluorescence,Beam Transmission,PAR/Irradiance,"Oxygen, SBE",Oxygen ,Salinity,Density
-123.505,48.59166667,62,2011-10-12,27,10.807,33.133,0.459,84.801,3.202,2.649,115.707,29.31,22.382
-123.505,48.59166667,62,2011-10-12,28,10.818,33.161,0.393,84.873,3.034,2.553,111.503,29.327,22.394
-123.505,48.59166667,62,2011-10-12,29,10.777,33.143,0.339,85.996,2.906,2.496,109.044,29.342,22.412
-123.505,48.59166667,62,2011-10-12,30,10.732,33.12,0.307,86.466,2.807,2.461,107.481,29.355,22.43
-123.505,48.59166667,62,2011-10-12,31,10.722,33.123,0.298,86.622,2.726,2.451,107.051,29.366,22.44
-123.505,48.59166667,62,2011-10-12,32,10.693,33.101,0.288,86.701,2.668,2.469,107.833,29.367,22.446
-123.505,48.59166667,62,2011-10-12,33,10.686,33.103,0.294,86.659,2.607,2.499,109.168,29.375,22.452
-123.505,48.59166667,62,2011-10-12,34,10.705,33.136,0.28,86.6,2.56,2.504,109.383,29.391,22.462
-123.505,48.59166667,62,2011-10-12,35,10.731,33.18,0.262,86.298,2.521,2.459,107.395,29.414,22.476
-123.505,48.59166667,62,2011-10-12,36,10.749,33.211,0.263,86.106,2.486,2.413,105.396,29.428,22.484
-123.505,48.59166667,62,2011-10-12,37,10.653,33.122,0.27,86.045,2.46,2.396,104.657,29.418,22.492
-123.505,48.59166667,62,2011-10-12,38,10.545,33.026,0.259,86.219,2.431,2.391,104.434,29.41,22.503
-123.505,48.59166667,62,2011-10-12,39,10.528,33.03,0.239,86.573,2.413,2.368,103.443,29.428,22.52
-123.505,48.59166667,62,2011-10-12,40,10.519,33.047,0.228,86.577,2.396,2.349,102.611,29.451,22.539
-123.505,48.59166667,62,2011-10-12,41,10.455,33.005,0.228,86.542,2.386,2.346,102.441,29.461,22.558
-123.505,48.59166667,62,2011-10-12,42,10.407,32.981,0.224,86.581,2.367,2.335,101.994,29.475,22.577
-123.505,48.59166667,62,2011-10-12,43,10.405,33.006,0.21,86.536,2.355,2.338,102.118,29.501,22.597
-123.505,48.59166667,62,2011-10-12,44,10.371,32.986,0.21,86.457,2.348,2.356,102.876,29.509,22.609
-123.505,48.59166667,62,2011-10-12,45,10.315,32.944,0.222,85.992,2.33,2.371,103.528,29.512,22.62
-123.505,48.59166667,62,2011-10-12,46,10.36,33.013,0.228,86.179,2.326,2.347,102.507,29.544,22.638
-123.505,48.59166667,62,2011-10-12,47,10.345,33.037,0.228,86.056,2.322,2.314,101.034,29.579,22.668
-123.505,48.59166667,62,2011-10-12,48,10.312,33.057,0.195,86.002,2.324,2.284,99.723,29.626,22.71
-123.505,48.59166667,62,2011-10-12,49,10.16,32.964,0.192,85.999,2.334,2.262,98.79,29.657,22.759
-123.505,48.59166667,62,2011-10-12,50,10.123,32.973,0.175,86.116,2.318,2.244,97.971,29.696,22.795
-123.505,48.59166667,62,2011-10-12,51,10.03,32.965,0.159,86.215,2.316,2.228,97.26,29.764,22.863
-123.505,48.59166667,62,2011-10-12,52,9.993,32.967,0.157,86.278,2.306,2.209,96.466,29.796,22.893
-123.505,48.59166667,62,2011-10-12,53,9.961,32.991,0.157,86.238,2.302,2.197,95.905,29.846,22.938
-123.505,48.59166667,62,2011-10-12,54,9.932,32.999,0.163,86.232,2.299,2.198,95.962,29.877,22.967
-123.505,48.59166667,62,2011-10-12,55,9.91,33.003,0.142,86.21,2.293,2.225,97.154,29.898,22.986
-123.505,48.59166667,62,2011-10-12,56,9.899,33.011,0.144,86.212,2.298,2.214,96.639,29.916,23.002
-123.505,48.59166667,62,2011-10-12,57,9.902,33.056,0.144,86.184,2.296,2.15,93.861,29.958,23.035
-123.505,48.59166667,62,2011-10-12,58,9.916,33.129,0.139,85.869,2.296,2.073,90.484,30.019,23.08
-123.505,48.59166667,62,2011-10-12,59,9.833,33.104,0.131,85.494,2.298,2.005,87.519,30.063,23.127
-123.505,48.59166667,62,2011-10-12,60,9.722,33.087,0.126,85.463,2.298,1.928,84.159,30.138,23.204
-123.505,48.59166667,62,2011-10-12,61,9.673,33.087,0.145,85.533,2.299,1.822,79.519,30.179,23.243
-123.505,48.59166667,62,2011-10-12,62,9.645,33.085,0.144,85.476,2.295,1.692,73.853,30.199,23.264
-123.505,48.59166667,62,2011-10-12,63,9.588,33.083,0.144,85.641,2.298,1.589,69.348,30.245,23.308
-123.505,48.59166667,62,2011-10-12,64,9.498,33.076,0.157,85.587,2.3,1.503,65.57,30.313,23.375
-123.505,48.59166667,62,2011-10-12,65,9.423,33.045,0.157,85.704,2.294,1.435,62.599,30.345,23.412
-123.505,48.59166667,62,2011-10-12,66,9.415,33.066,0.149,85.868,2.296,1.355,59.116,30.373,23.435
-123.505,48.59166667,62,2011-10-12,67,9.392,33.061,0.151,85.922,2.287,1.25,54.549,30.386,23.449
-123.505,48.59166667,62,2011-10-12,68,9.375,33.057,0.157,85.983,2.299,1.152,50.268,30.397,23.46
-123.505,48.59166667,62,2011-10-12,69,9.349,33.067,0.153,85.993,2.296,1.104,48.166,30.429,23.489
-123.505,48.59166667,62,2011-10-12,70,9.281,33.049,0.14,86.069,2.298,1.108,48.328,30.468,23.53
-123.505,48.59166667,62,2011-10-12,71,9.264,33.092,0.139,86.104,2.3,1.137,49.59,30.526,23.578
-123.505,48.59166667,62,2011-10-12,72,9.282,33.192,0.135,85.485,2.298,1.16,50.596,30.613,23.643
-123.505,48.59166667,62,2011-10-12,73,9.304,33.261,0.136,84.205,2.306,1.144,49.93,30.663,23.679
-123.505,48.59166667,62,2011-10-12,74,9.319,33.302,0.139,83.279,2.296,1.088,47.47,30.692,23.699
-123.505,48.59166667,62,2011-10-12,75,9.303,33.318,0.143,82.194,2.297,1.028,44.862,30.721,23.724
-123.505,48.59166667,62,2011-10-12,76,9.251,33.336,0.144,81.82,2.304,0.952,41.521,30.784,23.782
-123.505,48.59166667,62,2011-10-12,77,9.211,33.348,0.136,81.351,2.299,0.843,36.785,30.831,23.825
-123.505,48.59166667,62,2011-10-12,78,9.188,33.345,0.126,81.317,2.3,0.765,33.383,30.848,23.841
-123.505,48.59166667,62,2011-10-12,79,9.133,33.329,0.13,80.775,2.303,0.571,24.888,30.877,23.872
-123.505,48.59166667,62,2011-10-12,80,9.096,33.315,0.146,81,2.311,0.41,17.873,30.895,23.892
-123.505,48.59166667,62,2011-10-12,81,9.076,33.343,0.131,80.933,2.312,0.374,16.295,30.941,23.931
-123.505,48.59166667,62,2011-10-12,82,9.043,33.381,0.125,80.936,2.321,0.275,12.007,31.008,23.988
-123.505,48.59166667,62,2011-10-12,83,9.055,33.401,0.154,80.81,2.32,0.242,10.564,31.017,23.994
-123.505,48.59166667,62,2011-10-12,84,9.058,33.425,0.155,80.471,2.322,0.206,8.962,31.039,24.011
-123.505,48.59166667,62,2011-10-12,85,9.063,33.452,0.133,79.941,2.319,0.185,8.066,31.062,24.028
-123.505,48.59166667,62,2011-10-12,86,9.068,33.465,0.137,79.802,2.319,0.158,6.887,31.07,24.034
-123.505,48.59166667,62,2011-10-12,87,9.072,33.477,0.121,79.594,2.322,0.112,4.898,31.079,24.04
-123.505,48.59166667,62,2011-10-12,88,9.087,33.505,0.126,80.008,2.322,0.088,3.859,31.095,24.05
-123.505,48.59166667,62,2011-10-12,89,9.094,33.521,0.13,81.927,2.322,0.077,3.375,31.104,24.056
-123.505,48.59166667,62,2011-10-12,90,9.102,33.536,0.13,82.596,2.332,0.068,2.952,31.112,24.061
-123.505,48.59166667,62,2011-10-12,91,9.097,33.539,0.112,82.335,2.341,0.076,3.324,31.119,24.068
-123.505,48.59166667,62,2011-10-12,92,9.1,33.545,0.104,80.704,2.338,0.072,3.128,31.123,24.07
-123.505,48.59166667,62,2011-10-12,93,9.108,33.56,0.119,80.597,2.35,0.074,3.216,31.13,24.075
-123.505,48.59166667,62,2011-10-12,94,9.115,33.572,0.121,81.556,2.345,0.076,3.327,31.137,24.078
-123.505,48.59166667,62,2011-10-12,95,9.123,33.589,0.119,81.89,2.346,0.071,3.109,31.147,24.086
-123.505,48.59166667,62,2011-10-12,96,9.13,33.601,0.128,82.123,2.341,0.066,2.893,31.152,24.089
-123.505,48.59166667,62,2011-10-12,97,9.135,33.609,0.136,83.694,2.341,0.067,2.915,31.156,24.091
-123.505,48.59166667,62,2011-10-12,98,9.137,33.619,0.123,82.828,2.344,0.071,3.079,31.164,24.097
-123.505,48.59166667,62,2011-10-12,99,9.142,33.63,0.112,81.28,2.345,0.065,2.82,31.17,24.101
-123.505,48.59166667,62,2011-10-12,100,9.148,33.639,0.119,81.832,2.344,0.063,2.733,31.174,24.103
-123.505,48.59166667,62,2011-10-12,101,9.149,33.642,0.133,82.781,2.344,0.063,2.753,31.176,24.104
-123.505,48.59166667,62,2011-10-12,102,9.148,33.643,0.118,81.859,2.349,0.073,3.181,31.177,24.105
-123.505,48.59166667,62,2011-10-12,103,9.149,33.646,0.11,81.57,2.354,0.079,3.453,31.179,24.106
-123.505,48.59166667,62,2011-10-12,104,9.15,33.649,0.116,81.647,2.354,0.087,3.802,31.181,24.108
-123.505,48.59166667,62,2011-10-12,105,9.152,33.654,0.122,81.495,2.354,0.095,4.129,31.184,24.11
-123.505,48.59166667,62,2011-10-12,106,9.158,33.665,0.15,81.432,2.355,0.142,6.209,31.189,24.113
-123.505,48.59166667,62,2011-10-12,107,9.157,33.667,0.11,81.22,2.354,0.172,7.52,31.192,24.115
-123.505,48.59166667,62,2011-10-12,108,9.159,33.671,0.108,80.767,2.357,0.184,8.02,31.194,24.117
-123.505,48.59166667,62,2011-10-12,109,9.16,33.674,0.104,80.865,2.355,0.175,7.652,31.195,24.118
-123.505,48.59166667,62,2011-10-12,110,9.164,33.68,0.108,80.853,2.353,0.151,6.587,31.198,24.119
-123.505,48.59166667,62,2011-10-12,111,9.168,33.687,0.115,81.039,2.357,0.13,5.666,31.201,24.121
-123.505,48.59166667,62,2011-10-12,112,9.171,33.693,0.106,81.362,2.356,0.17,7.416,31.204,24.123
-123.505,48.59166667,62,2011-10-12,113,9.172,33.696,0.104,81.423,2.358,0.211,9.2,31.206,24.124
-123.505,48.59166667,62,2011-10-12,114,9.171,33.697,0.104,81.124,2.36,0.212,9.236,31.207,24.125
-123.505,48.59166667,62,2011-10-12,115,9.172,33.697,0.105,81.02,2.363,0.221,9.643,31.207,24.125
-123.505,48.59166667,62,2011-10-12,116,9.172,33.699,0.104,81.002,2.369,0.158,6.878,31.207,24.125
-123.505,48.59166667,62,2011-10-12,117,9.178,33.707,0.178,80.919,2.364,0.092,4.006,31.211,24.127
-123.505,48.59166667,62,2011-10-12,118,9.184,33.716,0.168,81.245,2.368,0.074,3.233,31.214,24.129
-123.505,48.59166667,62,2011-10-12,119,9.188,33.723,0.145,82.355,2.368,0.067,2.933,31.217,24.13
-123.505,48.59166667,62,2011-10-12,120,9.19,33.727,0.139,79.587,2.37,0.065,2.834,31.219,24.132
-123.505,48.59166667,62,2011-10-12,121,9.188,33.727,0.147,78.367,2.371,0.062,2.725,31.221,24.133
-123.505,48.59166667,62,2011-10-12,122,9.186,33.727,0.139,78.538,2.371,0.062,2.708,31.222,24.134
-123.505,48.59166667,62,2011-10-12,123,9.186,33.729,0.139,78.847,2.372,0.062,2.708,31.223,24.135
-123.505,48.59166667,62,2011-10-12,124,9.186,33.731,0.139,77.884,2.372,0.064,2.783,31.225,24.137
-123.505,48.59166667,62,2011-10-12,125,9.186,33.732,0.148,78.236,2.367,0.079,3.443,31.226,24.138
-123.505,48.59166667,62,2011-10-12,126,9.18,33.729,0.139,79.598,2.377,0.128,5.603,31.227,24.14
-123.505,48.59166667,62,2011-10-12,127,9.175,33.726,0.121,80.985,2.369,0.215,9.386,31.228,24.141
-123.505,48.59166667,62,2011-10-12,128,9.165,33.719,0.115,81.702,2.377,0.276,12.052,31.229,24.143
-123.505,48.59166667,62,2011-10-12,129,9.158,33.714,0.101,81.12,2.369,0.32,13.963,31.229,24.145
-123.505,48.59166667,62,2011-10-12,130,9.157,33.713,0.101,80.32,2.375,0.345,15.043,31.23,24.145
-123.505,48.59166667,62,2011-10-12,131,9.155,33.712,0.1,80.201,2.371,0.353,15.378,31.23,24.146
-123.505,48.59166667,62,2011-10-12,132,9.154,33.712,0.095,80.29,2.37,0.361,15.729,31.231,24.147
-123.505,48.59166667,62,2011-10-12,133,9.153,33.713,0.1,80.375,2.384,0.372,16.239,31.231,24.147
-123.505,48.59166667,62,2011-10-12,134,9.152,33.713,0.104,80.343,2.378,0.37,16.138,31.232,24.148
-123.505,48.59166667,62,2011-10-12,135,9.152,33.714,0.104,80.408,2.373,0.344,14.98,31.233,24.148
-123.505,48.59166667,62,2011-10-12,136,9.151,33.715,0.107,80.369,2.381,0.313,13.665,31.234,24.15
-123.505,48.59166667,62,2011-10-12,137,9.148,33.716,0.104,80.31,2.379,0.296,12.929,31.237,24.152
-123.505,48.59166667,62,2011-10-12,138,9.149,33.718,0.138,80.118,2.378,0.288,12.565,31.238,24.153
-123.505,48.59166667,62,2011-10-12,139,9.15,33.72,0.19,80.121,2.375,0.263,11.469,31.239,24.154
-123.505,48.59166667,62,2011-10-12,140,9.149,33.721,0.158,80.116,2.389,0.236,10.304,31.24,24.155
-123.505,48.59166667,62,2011-10-12,141,9.148,33.721,0.164,80.05,2.382,0.219,9.566,31.241,24.156
-123.505,48.59166667,62,2011-10-12,142,9.146,33.721,0.151,80.288,2.389,0.211,9.214,31.242,24.156
-123.505,48.59166667,62,2011-10-12,143,9.145,33.721,0.157,80.254,2.382,0.233,10.157,31.242,24.157
-123.505,48.59166667,62,2011-10-12,144,9.143,33.72,0.127,80.299,2.38,0.291,12.692,31.243,24.158
-123.505,48.59166667,62,2011-10-12,145,9.141,33.72,0.164,80.296,2.384,0.352,15.369,31.245,24.16
-123.505,48.59166667,62,2011-10-12,146,9.14,33.722,0.191,80.043,2.379,0.397,17.317,31.246,24.161
-123.505,48.59166667,62,2011-10-12,147,9.14,33.724,0.192,79.791,2.377,0.436,18.997,31.248,24.163
-123.505,48.59166667,62,2011-10-12,148,9.139,33.725,0.192,79.931,2.378,0.465,20.264,31.25,24.164
-123.505,48.59166667,62,2011-10-12,149,9.139,33.726,0.192,79.864,2.367,0.468,20.406,31.251,24.165
-123.505,48.59166667,62,2011-10-12,150,9.138,33.727,0.192,79.932,2.353,0.458,19.987,31.252,24.166
-123.505,48.59166667,62,2011-10-12,151,9.137,33.728,0.186,79.894,2.359,0.452,19.724,31.253,24.167
-123.505,48.59166667,62,2011-10-12,152,9.134,33.725,0.15,79.724,2.366,0.441,19.219,31.252,24.167
-123.505,48.59166667,62,2011-10-12,153,9.133,33.726,0.106,79.667,2.368,0.439,19.163,31.254,24.168
-123.505,48.59166667,62,2011-10-12,154,9.132,33.725,0.148,79.631,2.373,0.458,19.993,31.254,24.168
-123.505,48.59166667,62,2011-10-12,155,9.131,33.726,0.184,79.643,2.377,0.474,20.654,31.254,24.169
-123.505,48.59166667,62,2011-10-12,156,9.133,33.729,0.199,79.8,2.38,0.481,20.956,31.255,24.169
-123.505,48.59166667,62,2011-10-12,157,9.133,33.731,0.193,79.981,2.379,0.483,21.068,31.257,24.171
-123.505,48.59166667,62,2011-10-12,158,9.132,33.731,0.188,79.953,2.384,0.49,21.387,31.258,24.172
-123.505,48.59166667,62,2011-10-12,159,9.131,33.732,0.108,79.907,2.382,0.505,22.009,31.259,24.173
-123.505,48.59166667,62,2011-10-12,160,9.129,33.733,0.086,79.949,2.377,0.52,22.665,31.261,24.175
-123.505,48.59166667,62,2011-10-12,161,9.13,33.734,0.086,79.978,2.384,0.524,22.834,31.262,24.175
-123.505,48.59166667,62,2011-10-12,162,9.13,33.736,0.112,79.936,2.384,0.525,22.887,31.264,24.177
-123.505,48.59166667,62,2011-10-12,163,9.128,33.737,0.131,80.147,2.384,0.525,22.893,31.265,24.178
-123.505,48.59166667,62,2011-10-12,164,9.127,33.737,0.081,80.022,2.38,0.529,23.055,31.266,24.179
-123.505,48.59166667,62,2011-10-12,165,9.127,33.738,0.086,79.995,2.384,0.523,22.801,31.266,24.179
-123.505,48.59166667,62,2011-10-12,166,9.127,33.738,0.11,80.04,2.382,0.51,22.242,31.266,24.179
-123.505,48.59166667,62,2011-10-12,167,9.127,33.739,0.171,80.023,2.386,0.506,22.061,31.267,24.179
-123.505,48.59166667,62,2011-10-12,168,9.126,33.739,0.193,79.974,2.384,0.516,22.492,31.267,24.18
-123.505,48.59166667,62,2011-10-12,169,9.126,33.74,0.192,79.659,2.384,0.524,22.86,31.268,24.18
-123.505,48.59166667,62,2011-10-12,170,9.126,33.741,0.18,79.721,2.377,0.52,22.689,31.269,24.181
-123.505,48.59166667,62,2011-10-12,171,9.126,33.743,0.184,80.062,2.375,0.509,22.211,31.27,24.182
-123.505,48.59166667,62,2011-10-12,172,9.125,33.743,0.185,80.057,2.379,0.508,22.136,31.27,24.183
-123.505,48.59166667,62,2011-10-12,173,9.124,33.743,0.184,79.9,2.384,0.512,22.328,31.271,24.183
-123.505,48.59166667,62,2011-10-12,174,9.123,33.744,0.193,79.775,2.379,0.519,22.615,31.271,24.184
-123.505,48.59166667,62,2011-10-12,175,9.123,33.745,0.17,79.626,2.369,0.531,23.163,31.273,24.185
-123.505,48.59166667,62,2011-10-12,176,9.123,33.746,0.13,79.852,2.389,0.539,23.497,31.274,24.186
-123.505,48.59166667,62,2011-10-12,177,9.123,33.748,0.143,79.892,2.379,0.543,23.668,31.275,24.187
-123.505,48.59166667,62,2011-10-12,178,9.123,33.749,0.174,79.812,2.386,0.547,23.847,31.276,24.188
-123.505,48.59166667,62,2011-10-12,179,9.122,33.75,0.189,79.746,2.379,0.55,23.968,31.277,24.188
-123.505,48.59166667,62,2011-10-12,180,9.122,33.751,0.182,79.787,2.377,0.552,24.054,31.278,24.189
-123.505,48.59166667,62,2011-10-12,181,9.122,33.752,0.179,79.842,2.384,0.555,24.197,31.278,24.19
-123.505,48.59166667,62,2011-10-12,182,9.122,33.753,0.178,79.788,2.382,0.559,24.363,31.279,24.19
-123.505,48.59166667,62,2011-10-12,183,9.121,33.754,0.183,79.726,2.38,0.559,24.395,31.28,24.191
-123.505,48.59166667,62,2011-10-12,184,9.121,33.755,0.188,79.625,2.389,0.557,24.299,31.281,24.192
-123.505,48.59166667,62,2011-10-12,185,9.12,33.756,0.185,79.599,2.378,0.557,24.274,31.282,24.193
